hostUniprotID	hostGeneName	hostProteinName
Q12846	STX4	Syntaxin-4
Q9HC07	TMEM165	Putative divalent cation/proton antiporter TMEM165
Q96JJ7	TMX3	Protein disulfide-isomerase TMX3
P23510	TNFSF4	Tumor necrosis factor ligand superfamily member 4
Q5T9L3	WLS	Protein wntless homolog
P28288	ABCD3	ATP-binding cassette sub-family D member 3
O43306	ADCY6	Adenylate cyclase type 6
Q4KMQ2	ANO6	Anoctamin-6
Q9HD20	ATP13A1	Endoplasmic reticulum transmembrane helix translocase
Q08722	CD47	Leukocyte surface antigen CD47
O96005	CLPTM1	Putative lipid scramblase CLPTM1
Q14318	FKBP8	Peptidyl-prolyl cis-trans isomerase FKBP8
O60353	FZD6	Frizzled-6
O43292	GPAA1	GPI-anchor transamidase component GPAA1
Q8TCT9	HM13	Signal peptide peptidase
P28331	NDUFS1	NADH-ubiquinone oxidoreductase 75 kDa subunit, mitochondrial
Q96AQ6	PBXIP1	Pre-B-cell leukemia transcription factor-interacting protein 1
O95470	SGPL1	Sphingosine-1-phosphate lyase 1
Q6NUQ4	TMEM214	Transmembrane protein 214
O75762	TRPA1	Transient receptor potential cation channel subfamily A member 1
P09496	Clta	Clathrin light chain A
O95235	KIF20A	Kinesin-like protein KIF20A
Q96JC1	VPS39	Vam6/Vps39-like protein
Q8N1B4	VPS52	Vacuolar protein sorting-associated protein 52 homolog
Q9NQ31	AKIP1	A-kinase-interacting protein 1
Q14168	MPP2	MAGUK p55 subfamily member 2
O94842	TOX4	TOX high mobility group box family member 4
P28749	RBL1	Retinoblastoma-like protein 1
P55327	TPD52	Tumor protein D52
O95551	TDP2	Tyrosyl-DNA phosphodiesterase 2
Q9UBE0	SAE1	SUMO-activating enzyme subunit 1
Q96F44	TRIM11	E3 ubiquitin-protein ligase TRIM11
O43760	SYNGR2	Synaptogyrin-2
P32942	ICAM3	Intercellular adhesion molecule 3
Q9UHV2	SERTAD1	SERTA domain-containing protein 1
P09914	IFIT1	Antiviral innate immune response effector IFIT1
O96020	CCNE2	G1/S-specific cyclin-E2
P09543	CNP	2',3'-cyclic-nucleotide 3'-phosphodiesterase
Q13425	SNTB2	Beta-2-syntrophin
Q14192	FHL2	Four and a half LIM domains protein 2
O75436	VPS26A	Vacuolar protein sorting-associated protein 26A
Q15942	ZYX	Zyxin
O14579	COPE	Coatomer subunit epsilon
Q15678	PTPN14	Tyrosine-protein phosphatase non-receptor type 14
O60664	PLIN3	Perilipin-3
P49810	PSEN2	Presenilin-2
P62834	RAP1A	Ras-related protein Rap-1A
Q99584	S100A13	Protein S100-A13
P61619	SEC61A1	Protein transport protein Sec61 subunit alpha isoform 1
P07093	SERPINE2	Glia-derived nexin
Q9UJZ1	STOML2	Stomatin-like protein 2, mitochondrial
Q8TCJ2	STT3B	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3B
Q03518	TAP1	Antigen peptide transporter 1
O15533	TAPBP	Tapasin
Q9Y5S1	Trpv2	Transient receptor potential cation channel subfamily V member 2
Q9H1C4	UNC93B1	Protein unc-93 homolog B1
P33897	ABCD1	ATP-binding cassette sub-family D member 1
P36542	ATP5F1C	"""ATP synthase F(1) complex subunit gamma, mitochondrial"""
P24539	ATP5PB	ATP synthase peripheral stalk subunit b, mitochondrial
P48047	ATP5PO	ATP synthase peripheral stalk subunit OSCP, mitochondrial
P00403	MT-CO2	Cytochrome c oxidase subunit 2
P50416	CPT1A	Carnitine O-palmitoyltransferase 1, liver isoform
O95864	FADS2	Acyl-CoA 6-desaturase
P25445	FAS	Tumor necrosis factor receptor superfamily member 6
P30519	HMOX2	Heme oxygenase 2
Q7Z434	MAVS	Mitochondrial antiviral-signaling protein
Q9UKV5	AMFR	E3 ubiquitin-protein ligase AMFR
O75477	ERLIN1	Erlin-1
Q15858	SCN9A	Sodium channel protein type 9 subunit alpha
Q2M2I8	AAK1	AP2-associated protein kinase 1
Q15329	E2F5	Transcription factor E2F5
Q16825	PTPN21	Tyrosine-protein phosphatase non-receptor type 21
P41229	KDM5C	Lysine-specific demethylase 5C
P17936	Igfbp3	Insulin-like growth factor-binding protein 3
Q9Y6Q5	AP1M2	AP-1 complex subunit mu-2
Q9UBS4	DNAJB11	DnaJ homolog subfamily B member 11
P04632	CAPNS1	Calpain small subunit 1
Q8IYJ3	Sytl1	Synaptotagmin-like protein 1
P35250	RFC2	Replication factor C subunit 2
Q96QZ7	MAGI1	Membrane-associated guanylate kinase, WW and PDZ domain-containing protein 1
P05549	TFAP2A	Transcription factor AP-2-alpha
P17676	CEBPB	CCAAT/enhancer-binding protein beta
P55209	NAP1L1	Nucleosome assembly protein 1-like 1
O14907	TAX1BP3	Tax1-binding protein 3
Q14978	NOLC1	Nucleolar and coiled-body phosphoprotein 1
Q14188	TFDP2	Transcription factor Dp-2
Q01813	PFKP	ATP-dependent 6-phosphofructokinase, platelet type
P63151	PPP2R2A	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B alpha isoform
Q96L92	SNX27	Sorting nexin-27
Q9BS26	ERP44	Endoplasmic reticulum resident protein 44
Q9UBQ0	VPS29	Vacuolar protein sorting-associated protein 29
O15235	MRPS12	Small ribosomal subunit protein uS12m
Q14186	TFDP1	Transcription factor Dp-1
O15427	SLC16A3	Monocarboxylate transporter 4
Q9HBR0	SLC38A10	Solute carrier family 38 member 10
P49755	TMED10	Transmembrane emp24 domain-containing protein 10
Q92973	TNPO1	Transportin-1
Q13443	ADAM9	Disintegrin and metalloproteinase domain-containing protein 9
P21964	COMT	Catechol O-methyltransferase
Q6UVK1	cspg4	Chondroitin sulfate proteoglycan 4
P39656	DDOST	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit
Q15392	DHCR24	"""Delta(24)-sterol reductase"""
P25116	F2R	Proteinase-activated receptor 1
Q10472	GALNT1	Polypeptide N-acetylgalactosaminyltransferase 1
P17302	Gja1	Gap junction alpha-1 protein
Q96S66	CLCC1	Chloride channel CLIC-like protein 1
O94905	Erlin2	Erlin-2
P30281	Ccnd3	G1/S-specific cyclin-D3
Q7Z7L7	ZER1	Protein zer-1 homolog
P51784	USP11	Ubiquitin carboxyl-terminal hydrolase 11
Q96EY1	Dnaja3	DnaJ homolog subfamily A member 3, mitochondrial
P25106	ACKR3	Atypical chemokine receptor 3
O75528	TADA3	Transcriptional adapter 3
O95905	ECD	Protein ecdysoneless homolog
O00303	EIF3F	Eukaryotic translation initiation factor 3 subunit F
Q9NYY3	PLK2	Serine/threonine-protein kinase PLK2
Q13158	FADD	FAS-associated death domain protein
Q92547	Topbp1	DNA topoisomerase 2-binding protein 1
Q01094	E2f1	Transcription factor E2F1
Q92831	KAT2B	Histone acetyltransferase KAT2B
P12110	COL6A2	"""Collagen alpha-2(VI) chain"""
Q14393	GAS6	Growth arrest-specific protein 6
Q13563	PKD2	Polycystin-2
O00391	QSOX1	Sulfhydryl oxidase 1
P11166	SLC2A1	Solute carrier family 2, facilitated glucose transporter member 1
P04920	SLC4A2	Anion exchange protein 2
P46977	Stt3a	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit STT3A
Q03519	TAP2	Antigen peptide transporter 2
Q9HBA0	Trpv4	Transient receptor potential cation channel subfamily V member 4
P23634	ATP2B4	Plasma membrane calcium-transporting ATPase 4
Q16891	IMMT	MICOS complex subunit MIC60
Q6IAA8	LAMTOR1	Ragulator complex protein LAMTOR1
O00767	SCD	Stearoyl-CoA desaturase
P26641	EEF1G	Elongation factor 1-gamma
Q13362	PPP2R5C	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit gamma isoform
Q14671	PUM1	Pumilio homolog 1
P36507	MAP2K2	Dual specificity mitogen-activated protein kinase kinase 2
P05412	JUN	Transcription factor Jun
O15111	CHUK	Inhibitor of nuclear factor kappa-B kinase subunit alpha
Q9UHD8	SEPTIN9	Septin-9
P31689	DNAJA1	DnaJ homolog subfamily A member 1
O00469	PLOD2	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 2
Q9Y653	ADGRG1	Adhesion G-protein coupled receptor G1
Q92633	LPAR1	Lysophosphatidic acid receptor 1
P50281	MMP14	Matrix metalloproteinase-14
P11802	Cdk4	Cyclin-dependent kinase 4
Q96L91	EP400	E1A-binding protein p400
Q9NQC7	CYLD	Ubiquitin carboxyl-terminal hydrolase CYLD
P16144	ITGB4	Integrin beta-4
P13667	PDIA4	Protein disulfide-isomerase A4
Q14160	Scrib	Protein scribble homolog
P19438	TNFRSF1A	Tumor necrosis factor receptor superfamily member 1A
Q92508	PIEZO1	Piezo-type mechanosensitive ion channel component 1
Q01650	SLC7A5	Large neutral amino acids transporter small subunit 1
P27105	STOM	Stomatin
O15439	ABCC4	ATP-binding cassette sub-family C member 4
P04114	APOB	Apolipoprotein B-100
Q86WV6	Sting1	Stimulator of interferon genes protein
Q9NRY4	ARHGAP35	Rho GTPase-activating protein 35
Q15022	SUZ12	Polycomb protein SUZ12
P67775	PPP2CA	Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform
Q9Y678	COPG1	Coatomer subunit gamma-1
P42677	RPS27	Small ribosomal subunit protein eS27
Q8IV08	PLD3	5'-3' exonuclease PLD3
P04844	RPN2	Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit 2
Q15758	SLC1A5	"""Neutral amino acid transporter B(0)"""
Q03135	CAV1	Caveolin-1
P53621	COPA	Coatomer subunit alpha
O95782	AP2A1	AP-2 complex subunit alpha-1
Q96CW1	AP2M1	AP-2 complex subunit mu
Q00535	CDK5	Cyclin-dependent kinase 5
P29590	PML	Protein PML
P06400	Rb1	Retinoblastoma-associated protein
P18848	Atf4	Cyclic AMP-dependent transcription factor ATF-4
Q13485	SMAD4	Mothers against decapentaplegic homolog 4
Q13547	HDAC1	Histone deacetylase 1
P33527	ABCC1	Multidrug resistance-associated protein 1
P27824	CANX	Calnexin
Q9H7F0	ATP13A3	Polyamine-transporting ATPase 13A3
P29597	TYK2	Non-receptor tyrosine-protein kinase TYK2
P20248	CCNA2	Cyclin-A2
P46939	UTRN	Utrophin
Q9UNM6	PSMD13	26S proteasome non-ATPase regulatory subunit 13
P10644	PRKAR1A	cAMP-dependent protein kinase type I-alpha regulatory subunit
Q96QK1	VPS35	Vacuolar protein sorting-associated protein 35
P30101	PDIA3	Protein disulfide-isomerase A3
O43166	SIPA1L1	Signal-induced proliferation-associated 1-like protein 1
P52292	KPNA2	Importin subunit alpha-1
O14773	TPP1	Tripeptidyl-peptidase 1
P07339	CTSD	Cathepsin D
P38398	BRCA1	Breast cancer type 1 susceptibility protein
O95714	HERC2	E3 ubiquitin-protein ligase HERC2
P30153	PPP2R1A	Serine/threonine-protein phosphatase 2A 65 kDa regulatory subunit A alpha isoform
O00231	PSMD11	26S proteasome non-ATPase regulatory subunit 11
Q15369	ELOC	Elongin-C
Q15370	ELOB	Elongin-B
O60814	H2BC12	Histone H2B type 1-K
Q09472	EP300	Histone acetyltransferase p300
P08195	SLC3A2	Amino acid transporter heavy chain SLC3A2
P05556	ITGB1	Integrin beta-1
P68104	EEF1A1	Elongation factor 1-alpha 1
P23458	JAK1	Tyrosine-protein kinase JAK1
Q5T4S7	UBR4	E3 ubiquitin-protein ligase UBR4
P06733	ENO1	Alpha-enolase
P05023	ATP1A1	Sodium/potassium-transporting ATPase subunit alpha-1
P14618	PKM	Pyruvate kinase PKM
P18031	PTPN1	Tyrosine-protein phosphatase non-receptor type 1
P11717	IGF2R	Cation-independent mannose-6-phosphate receptor
P24941	Cdk2	Cyclin-dependent kinase 2
P04637	TP53	Cellular tumor antigen p53
P60709	ACTB	Actin, cytoplasmic 1
O60885	Brd4	Bromodomain-containing protein 4
Q14204	DYNC1H1	Cytoplasmic dynein 1 heavy chain 1
Q8N1K5	THEMIS	Protein THEMIS
Q6PF05	TTC23L	Tetratricopeptide repeat protein 23-like
Q9H4K1	RIBC2	RIB43A-like with coiled-coils protein 2
Q8N883	ZNF614	Zinc finger protein 614
Q9BY27	DGCR6L	Protein DGCR6L
Q969F0	FATE1	Fetal and adult testis-expressed transcript protein
Q969H6	POP5	Ribonuclease P/MRP protein subunit POP5
Q6ZVK8	NUDT18	8-oxo-dGDP phosphatase NUDT18
Q92546	RGP1	RAB6A-GEF complex partner protein 2
Q5T8I9	HENMT1	Small RNA 2'-O-methyltransferase
P19013	KRT4	Keratin, type II cytoskeletal 4
P19012	KRT15	Keratin, type I cytoskeletal 15
P78560	CRADD	Death domain-containing protein CRADD
O14595	CTDSP2	Carboxy-terminal domain RNA polymerase II polypeptide A small phosphatase 2
O15287	FANCG	Fanconi anemia group G protein
Q53HC0	CCDC92	Coiled-coil domain-containing protein 92
Q01085	TIAL1	Nucleolysin TIAR
P43268	Etv4	ETS translocation variant 4
Q33E94	RFX4	Transcription factor RFX4
Q9GZT8	NIF3L1	NIF3-like protein 1
P82932	MRPS6	Small ribosomal subunit protein bS6m
Q96MT8	CEP63	Centrosomal protein of 63 kDa
Q13283	G3BP1	Ras GTPase-activating protein-binding protein 1
Q8IZQ1	WDFY3	WD repeat and FYVE domain-containing protein 3
Q9NP87	POLM	DNA-directed DNA/RNA polymerase mu
P29474	NOS3	Nitric oxide synthase 3
Q9UBN7	Hdac6	Protein deacetylase HDAC6
P05787	Krt8	Keratin, type II cytoskeletal 8
P82909	KGD4	Alpha-ketoglutarate dehydrogenase component 4
O15131	KPNA5	Importin subunit alpha-6
Q5QP82	DCAF10	DDB1- and CUL4-associated factor 10
Q9BTE7	DCUN1D5	DCN1-like protein 5
Q9UIL1	SCOC	Short coiled-coil protein
Q66LE6	PPP2R2D	Serine/threonine-protein phosphatase 2A 55 kDa regulatory subunit B delta isoform
Q96C92	ENTR1	Endosome-associated-trafficking regulator 1
Q9H5V9	STEEP1	STING ER exit protein
Q96MW5	COG8	Conserved oligomeric Golgi complex subunit 8
Q96PD5	PGLYRP2	N-acetylmuramoyl-L-alanine amidase
O00330	PDHX	Pyruvate dehydrogenase protein X component, mitochondrial
P36957	DLST	Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex, mitochondrial
Q4G0N4	NADK2	NAD kinase 2, mitochondrial
Q9Y2Z0	SUGT1	Protein SGT1 homolog
O60678	PRMT3	Protein arginine N-methyltransferase 3
Q9H4P4	RNF41	E3 ubiquitin-protein ligase NRDP1
P08559	PDHA1	Pyruvate dehydrogenase E1 component subunit alpha, somatic form, mitochondrial
Q9NZC7	WWOX	WW domain-containing oxidoreductase
O94826	TOMM70	Mitochondrial import receptor subunit TOM70
P10515	DLAT	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial
Q15172	PPP2R5A	Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit alpha isoform
Q02218	OGDH	2-oxoglutarate dehydrogenase complex component E1
Q13162	PRDX4	Peroxiredoxin-4
P22234	PAICS	Bifunctional phosphoribosylaminoimidazole carboxylase/phosphoribosylaminoimidazole succinocarboxamide synthetase
Q7L1Q6	BZW1	eIF5-mimic protein 2
P04818	TYMS	Thymidylate synthase
P50897	PPT1	Palmitoyl-protein thioesterase 1
